,input,channel,target,sr
0,A,A,A,0.7458565831184387
1,B,B,B,0.9846721291542053
2,C,C,C,0.9773457646369934
3,D,D,D,0.9895010590553284
4,BC,B,B,0.7709276676177979
5,BC,C,C,0.7647542357444763
6,BD,B,B,0.7662727236747742
7,BD,D,D,0.7674489617347717
8,CD,C,C,0.7748314738273621
9,CD,D,D,0.7777948975563049
10,BCD,B,B,0.6556330919265747
11,BCD,C,C,0.6763719320297241
12,BCD,D,D,0.6730954051017761
