,input,channel,target,si_snr
0,A,A,A,4.257579803466797
1,B,B,B,17.77875328063965
2,C,C,C,16.74241065979004
3,D,D,D,19.484682083129883
4,BC,B,B,2.057115077972412
5,BC,C,C,1.9296716451644897
6,BD,B,B,1.8474727869033813
7,BD,D,D,1.9571795463562012
8,CD,C,C,2.366568088531494
9,CD,D,D,2.491184949874878
10,BCD,B,B,-1.1274540424346924
11,BCD,C,C,-0.5181884765625
12,BCD,D,D,-0.6955189108848572
