,input,channel,target,mse
0,BC,B,B,0.0052289217710494995
1,BC,C,C,0.004650739952921867
2,BD,B,B,0.005039193667471409
3,BD,D,D,0.005033937282860279
4,CD,C,C,0.004504100419580936
5,CD,D,D,0.004277146887034178
6,BCD,B,B,0.007772247772663832
7,BCD,C,C,0.006756645627319813
8,BCD,D,D,0.007239567581564188
