,input,channel,target,si_sdr
0,BC,B,B,1.0712792873382568
1,BC,C,C,1.5728548765182495
2,BD,B,B,1.4684507846832275
3,BD,D,D,1.5717713832855225
4,CD,C,C,1.787437081336975
5,CD,D,D,2.2373228073120117
6,BCD,B,B,-2.5467519760131836
7,BCD,C,C,-1.6145074367523193
8,BCD,D,D,-1.4545007944107056
