,input,channel,target,sdr
0,BC,B,B,3.5574941635131836
1,BC,C,C,3.911761522293091
2,BD,B,B,3.780189275741577
3,BD,D,D,3.7839720249176025
4,CD,C,C,4.122441291809082
5,CD,D,D,4.372447967529297
6,BCD,B,B,1.8933924436569214
7,BCD,C,C,2.3780031204223633
8,BCD,D,D,2.2526588439941406
