,input,channel,target,sr
0,BC,B,B,0.7379217743873596
1,BC,C,C,0.7532100081443787
2,BD,B,B,0.7525267601013184
3,BD,D,D,0.7542449831962585
4,CD,C,C,0.7551931738853455
5,CD,D,D,0.7703341841697693
6,BCD,B,B,0.5964949131011963
7,BCD,C,C,0.6329129934310913
8,BCD,D,D,0.6408412456512451
