,input,channel,target,sdr
0,A,A,A,
1,B,B,B,
2,C,C,C,
3,D,D,D,
4,BC,B,B,3.989046573638916
5,BC,C,C,3.9343807697296143
6,BD,B,B,3.8226351737976074
7,BD,D,D,4.014416694641113
8,CD,C,C,4.224179744720459
9,CD,D,D,4.452774524688721
10,BCD,B,B,2.401301383972168
11,BCD,C,C,2.7707347869873047
12,BCD,D,D,2.7800869941711426
