,input,channel,target,mse
0,A,A,A,0.00021592882694676518
1,B,B,B,0.00048306514509022236
2,C,C,C,0.0005497246747836471
3,D,D,D,0.0002961892751045525
4,BC,B,B,0.004661694169044495
5,BC,C,C,0.004622745327651501
6,BD,B,B,0.004887028597295284
7,BD,D,D,0.004714400041848421
8,CD,C,C,0.004296307452023029
9,CD,D,D,0.004147635307163
10,BCD,B,B,0.006555822677910328
11,BCD,C,C,0.006002746522426605
12,BCD,D,D,0.0060891094617545605
