,input,channel,target,sr
0,A,A,A,0.7111758589744568
1,B,B,B,0.9733964204788208
2,C,C,C,0.9587480425834656
3,D,D,D,0.980926513671875
4,BC,B,B,0.7538727521896362
5,BC,C,C,0.7372835874557495
6,BD,B,B,0.7457759976387024
7,BD,D,D,0.7512864470481873
8,CD,C,C,0.7438744902610779
9,CD,D,D,0.7596160769462585
10,BCD,B,B,0.6373646855354309
11,BCD,C,C,0.6452082395553589
12,BCD,D,D,0.6533008813858032
