,input,channel,target,si_snr
0,A,A,A,2.052760124206543
1,B,B,B,14.765737533569336
2,C,C,C,14.0148344039917
3,D,D,D,16.230865478515625
4,BC,B,B,1.5534042119979858
5,BC,C,C,1.1787420511245728
6,BD,B,B,1.280312418937683
7,BD,D,D,1.536852240562439
8,CD,C,C,1.5020437240600586
9,CD,D,D,1.9676471948623657
10,BCD,B,B,-1.5604740381240845
11,BCD,C,C,-1.3332581520080566
12,BCD,D,D,-1.1340105533599854
